#Parameters = {fl=10.5; fw=3.5; gt=0.4; inl=7; inw=0.35; k=4.5; k_mul=0.5; pl=14; pt=0.4; pw=23.7; sl=35; st=3; sw=55; x=3.5}
#"Frequency / THz"	"Tot. Efficiency [1] (2298) [Magnitude]"
#----------------------------------------------------------
0.10000000000000	-43.102336583494
0.59000000000000	-23.621353854935
1.0800000000000	-21.949155801291
1.5700000000000	-30.194573323310
2.0600000000000	-24.675470178126
2.5500000000000	-21.013126062833
3.0400000000000	-16.861996987708
3.5300000000000	-12.414624847209
4.0200000000000	-7.8934639438708
4.5100000000000	-4.9312180620186
5.0000000000000	-7.6040198502890
