#Parameters = {a=20; d=2000; fl=88.5; fw=58; gh=15; inl=50; inw=3.625; mt=15; pl=223; pw=306; sh=90; sl=400; sw=460; uf=0.8}
#"Frequency / THz"	"Rad. Efficiency [1] (inl=50) [Magnitude]"
#------------------------------------------------------------
0.10000000000000	-2.7428047743109
0.19900000000000	-0.47341118300863
0.29800000000000	-0.16166682220862
0.39700000000000	-0.13398507982307
0.49600000000000	-0.19028496069361
0.59500000000000	-0.095282472802242
0.69400000000000	-0.11482168016685
0.79300000000000	-0.090975723244771
0.89200000000000	-0.040109414572672
0.99100000000000	-0.062680325586898
