#Parameters = {a=20; d=2000; fl=88.5; fw=58; gh=15; inl=50; inw=3.625; mt=15; pl=223; pw=306; sh=90; sl=400; sw=460; uf=0.8}
#"Frequency / THz"	"Tot. Efficiency [1] (inl=50) [Magnitude]"
#------------------------------------------------------------
0.10000000000000	-18.742522688893
0.19900000000000	-8.8938718255480
0.29800000000000	-3.3645133671638
0.39700000000000	-0.66549694565081
0.49600000000000	-1.9299560533951
0.59500000000000	-1.3601231252081
0.69400000000000	-1.0121495772078
0.79300000000000	-0.38024827479721
0.89200000000000	-0.15311745656909
0.99100000000000	-0.34936348054661
